"Name","Team","Level","Age","PA","BB.","K.","BB.K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","wSB","wRC","wRAA","wOBA","wRC.","mYear","playerid","zAge"
"Chris Clapinski","KCR","AAA",34,80,0.1,0.175,0.57142857,0.17910448,0.26923077,0.28358209,0.55281286,0.10447761,3.562565378,0.2037037,0.206114032,4.651394755,-5.445021718,0.257446722,46.06975918,2006,1002257,2.19930736916113
"Michael Coleman","TBD","AA",30,485,0.08453608,0.19175258,0.44086022,0.23908046,0.31340206,0.42758621,0.74098827,0.18850575,4.566941952,0.26605505,0.992404852,57.57124209,6.163739651,0.336098455,111.9899613,2006,1002429,2.52994491923678
"Tike Redman","HOU","AA",29,436,0.06651376,0.0940367,0.70731707,0.26799007,0.3202765,0.33746898,0.65774548,0.06947891,5.126311988,0.29444444,0.770416277,42.27693769,-8.284286138,0.302976715,82.34032849,2006,1003,2.08631598409372
"Jed Hansen","SFG","AAA",33,408,0.07843137,0.17647059,0.44444444,0.24657534,0.31695332,0.38630137,0.70325469,0.13972603,5.164651231,0.27972028,0.713967764,44.21291248,-7.278811533,0.317739668,85.86411375,2006,1005327,1.8900086451868
"Steve Lomasney","MIN","AAA",28,162,0.04320988,0.31481481,0.1372549,0.1986755,0.23602484,0.29139073,0.52741557,0.09271523,1.626633189,0.27272727,-1.199909029,8.467511951,-9.897080408,0.240809298,46.15025578,2006,1007717,0.343515025315137
"Pascual Matos","CHW","AAA",31,189,0.01587302,0.19047619,0.08333333,0.17514124,0.19125683,0.27118644,0.46244327,0.0960452,4.518012876,0.20567376,0.361039958,4.030196973,-17.05614872,0.206492546,19.11282795,2006,1008248,1.27141119723813
"Juan Melo","SFG","AAA",29,418,0.05741627,0.16746411,0.34285714,0.26302083,0.3060241,0.3671875,0.6732116,0.10416667,3.252257466,0.29903537,-0.443088771,39.81582082,-12.93795526,0.301983854,75.47482622,2006,1008752,0.652813749289469
"George Lombard","WSN","AAA",30,220,0.10454545,0.22272727,0.46938776,0.3015873,0.39170507,0.52380952,0.91551459,0.22222222,6.918414444,0.36153846,2.740479825,39.03210113,11.26695582,0.400639658,140.5794953,2006,101,0.9621124732638
"Rob Sasser","CHW","AA",31,142,0.14084507,0.22535211,0.625,0.23333333,0.33802817,0.35,0.68802817,0.11666667,2.130233374,0.28735632,0.197021508,15.5842259,0.532957148,0.323954443,103.540945,2006,1011453,2.97357385437983
"Jorge Toca","STL","AAA",31,79,0.03797468,0.17721519,0.21428571,0.32876712,0.35443038,0.54794521,0.90237559,0.21917809,0.767857143,0.37288136,0.006114029,13.20061783,3.23040656,0.388247681,132.4005828,2006,1013093,1.27141119723813
"Kevin Barker","TOR","AAA",30,559,0.1431127,0.21288014,0.67226891,0.27484144,0.37924866,0.47991543,0.85916409,0.20507399,3.638783561,0.32941176,-0.436168942,87.26200565,24.89551229,0.380746226,139.918089,2006,1019,0.9621124732638
"Sean Burroughs","TBD","AAA",25,143,0.06293706,0.2027972,0.31034483,0.21374046,0.26760563,0.2519084,0.51951403,0.03816794,1.815267644,0.26470588,-1.039597802,7.161362057,-8.792857173,0.243670026,44.88694779,2006,1021,-0.584381146607858
"Cesar Crespo","ATL","AAA",27,488,0.11270492,0.17418033,0.64705882,0.23877069,0.32640333,0.31914894,0.64555227,0.08037825,5.000934107,0.28656716,0.409237024,45.65645868,-8.788709041,0.299882767,83.85768764,2006,1024,0.0342163013408052
"Wiki Gonzalez","WSN","AAA",32,99,0.09090909,0.09090909,1,0.29761905,0.38383838,0.48809524,0.87193362,0.19047619,2.58575895,0.28767123,0.21108168,16.11868823,3.624372846,0.383107799,129.0081748,2006,1033,1.58070992121246
"D'Angelo Jimenez","OAK","AAA",28,151,0.1589404,0.09271523,1.71428571,0.304,0.41333333,0.48,0.89333333,0.176,4.67646379,0.31481481,-1.346935709,26.833679,7.776692909,0.400985217,140.8075698,2006,1038,0.343515025315137
"Ramon Vazquez","CLE","AAA",29,124,0.17741935,0.21774194,0.81481481,0.24242424,0.37704918,0.34343434,0.72048352,0.1010101,5.451874341,0.30985915,-0.063375082,15.09505223,1.260624372,0.336310786,109.1122263,2006,1058,0.652813749289469
"Ben Davis","NYY","AAA",29,170,0.04117647,0.21764706,0.18918919,0.22222222,0.25443787,0.33333333,0.5877712,0.11111111,1.537939107,0.26446281,-0.249207795,11.0921963,-7.874358025,0.263281338,58.48292796,2006,1074,0.652813749289469
"Kenny Kelly","WSN","AAA",27,409,0.10513447,0.18337408,0.57333333,0.24786325,0.3324937,0.3048433,0.637337,0.05698005,5.653681972,0.3115942,0.312624782,38.16217557,-13.45575365,0.299661191,73.93201576,2006,1084,0.0342163013408052
"Cody Ransom","HOU","AAA",30,442,0.12217195,0.23303167,0.52427184,0.24736842,0.34545455,0.47894737,0.82440192,0.23157895,3.431367241,0.28294574,-0.002820169,63.24086849,7.458167475,0.359414251,113.3700365,2006,1126,0.9621124732638
"Tony Torcato","CHW","AAA",26,249,0.06827309,0.14056225,0.48571429,0.24888889,0.30241935,0.33333333,0.63575268,0.08444444,2.831597814,0.28125,-0.29879331,21.08496642,-6.695457272,0.288402376,75.89864955,2006,1134,-0.275082422633527
"Mike Coolbaugh","KCR","AAA",34,235,0.13191489,0.20425532,0.64583333,0.22335025,0.3362069,0.39086294,0.72706984,0.16751269,1.357814375,0.25352113,-0.218487371,27.97949097,-1.678732416,0.330581201,94.33974047,2006,1147,2.19930736916113
"Mike DiFelice","NYM","AA",37,137,0.11678832,0.17518248,0.66666667,0.27192982,0.37226277,0.35964912,0.73191189,0.0877193,0.740683205,0.32608696,-0.006805572,17.12253701,1.581554819,0.335114256,110.150748,2006,1151,5.63534746523818
"Kerry Robinson","KCR","AAA",32,437,0.07551487,0.08237986,0.91666667,0.31060606,0.36951501,0.40151515,0.77103016,0.09090909,5.725393463,0.33798883,-2.729751087,59.69997609,4.548301102,0.351652114,108.2468957,2006,1179,1.58070992121246
"Brent Abernathy","MIL","AAA",28,492,0.08130081,0.11788618,0.68965517,0.28701595,0.34504132,0.35763098,0.7026723,0.07061503,4.227974348,0.31842105,-0.758359254,55.36768446,-6.725276855,0.322746973,89.16901898,2006,1192,0.343515025315137
"Jason Conti","STL","AAA",31,193,0.08290155,0.19689119,0.42105263,0.26315789,0.33157895,0.3625731,0.69415205,0.09941521,3.120144936,0.32061069,-0.027640369,19.84694039,-3.076214899,0.312241559,87.74044892,2006,1199,1.27141119723813
