Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,playerid
Zack Greinke,- - -,484,596,8,48,33,9,4.40%,19.00%,0.106,0.27,0.224,0.262,0.331,0.259,,58,1.1,-29.4,64.4,5.6,1943
Madison Bumgarner,- - -,341,731,19,54,65,0,6.70%,38.90%,0.12,0.269,0.172,0.232,0.292,0.233,,44,-0.4,-49.9,78.6,5.4,5524
Adam Wainwright,STL,450,846,10,55,75,0,3.20%,29.40%,0.1,0.276,0.194,0.222,0.294,0.225,,35,-1.2,-67.7,91.6,5.1,2233
Carlos Zambrano,- - -,249,464,20,50,54,1,1.30%,31.30%,0.172,0.314,0.243,0.252,0.415,0.285,,65,0,-20.5,49.5,4.4,305
Yovani Gallardo,- - -,326,480,12,37,42,0,2.70%,31.00%,0.133,0.277,0.201,0.228,0.335,0.246,,44,-0.2,-31.4,49,3.3,8173
Micah Owings,- - -,183,219,9,27,35,0,3.70%,32.90%,0.22,0.389,0.283,0.31,0.502,0.347,,104,-0.1,1.5,23.1,3.1,4253
Mike Leake,- - -,338,549,6,46,32,0,2.90%,35.70%,0.078,0.307,0.192,0.221,0.27,0.218,,30,-0.3,-46,57.3,3,10130
Jacob deGrom,NYM,210,423,3,27,29,1,4.00%,27.40%,0.047,0.284,0.204,0.238,0.251,0.217,,34,0,-34.2,48.4,2.8,10954
Dontrelle Willis,- - -,120,199,6,22,21,0,6.00%,15.60%,0.2,0.281,0.255,0.309,0.455,0.33,,99,-0.5,-1.2,21.7,2.7,1703
Dan Haren,- - -,338,431,2,30,36,0,3.70%,24.40%,0.078,0.286,0.212,0.244,0.29,0.237,,37,-0.2,-32.7,44.8,2.6,1757
Clayton Kershaw,LAD,388,847,1,46,40,1,4.00%,24.90%,0.023,0.23,0.162,0.205,0.185,0.18,,6,-0.2,-97.3,90.5,2.1,2036
Travis Wood,- - -,330,327,11,28,37,1,2.10%,35.20%,0.144,0.256,0.185,0.208,0.329,0.234,,41,0.1,-22.6,32.3,2.1,9884
Jake Arrieta,- - -,289,426,6,25,27,0,3.80%,46.20%,0.084,0.318,0.165,0.201,0.249,0.198,,17,-0.2,-43.5,47.6,1.8,4153
German Marquez,COL,142,244,2,19,30,0,0.00%,24.20%,0.09,0.325,0.241,0.241,0.33,0.243,,33,-0.1,-21.4,29.4,1.6,15038
Tim Hudson,- - -,272,610,4,31,35,0,3.40%,25.40%,0.054,0.225,0.165,0.199,0.218,0.189,,8,-0.3,-68,63.6,1.5,921
Noah Syndergaard,NYM,121,251,6,14,15,0,6.00%,57.40%,0.113,0.384,0.153,0.206,0.266,0.208,,29,-0.1,-22.4,28.7,1.5,11762
Jon Niese,- - -,216,413,0,27,19,0,8.50%,39.70%,0.026,0.284,0.15,0.228,0.176,0.193,,16,-0.3,-40.6,41.9,1.5,4424
Tyson Ross,- - -,209,217,2,14,13,1,2.80%,35.90%,0.053,0.319,0.2,0.229,0.253,0.214,,36,0.1,-15.9,23,1.5,7872
Hyun-Jin Ryu,- - -,171,262,1,19,12,0,4.60%,36.60%,0.06,0.308,0.175,0.222,0.235,0.206,,26,-0.1,-23.7,29.2,1.4,14444
Jake Peavy,- - -,287,364,3,30,25,0,3.00%,26.90%,0.072,0.241,0.176,0.202,0.248,0.199,,20,-0.6,-36.6,39.4,1.4,1051
