Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,playerid
Zack Greinke,- - -,442,594,8,48,33,9,0.044,0.189,0.107,0.271,0.225,0.263,0.332,0.26,,59,1.1,-28.9,64.2,5.6,1943
Madison Bumgarner,SFG,304,679,19,51,62,0,0.059,0.376,0.126,0.265,0.177,0.228,0.303,0.235,,45,-0.3,-45.2,72.3,5,5524
Adam Wainwright,STL,406,772,10,54,71,0,0.031,0.29,0.105,0.28,0.2,0.226,0.305,0.232,,39,-1.2,-57.5,82.7,5,2233
Carlos Zambrano,- - -,249,464,20,50,54,1,0.013,0.313,0.172,0.314,0.243,0.252,0.415,0.285,,65,0,-20.5,49.5,4.4,305
Yovani Gallardo,- - -,326,480,12,37,42,0,0.027,0.31,0.133,0.277,0.201,0.228,0.335,0.246,,44,-0.2,-31.4,49,3.3,8173
Micah Owings,- - -,183,219,9,27,35,0,0.037,0.329,0.22,0.389,0.283,0.31,0.502,0.347,,104,-0.1,1.5,23.1,3.1,4253
Mike Leake,- - -,338,549,6,46,32,0,0.029,0.357,0.078,0.307,0.192,0.221,0.27,0.218,,30,-0.3,-46,57.3,3,10130
Dontrelle Willis,- - -,120,199,6,22,21,0,0.06,0.156,0.2,0.281,0.255,0.309,0.455,0.33,,99,-0.5,-1.2,21.7,2.7,1703
Dan Haren,- - -,338,431,2,30,36,0,0.037,0.244,0.078,0.286,0.212,0.244,0.29,0.237,,37,-0.2,-32.7,44.8,2.6,1757
Jacob deGrom,NYM,183,390,3,23,23,1,0.044,0.274,0.049,0.263,0.189,0.226,0.237,0.207,,27,0,-34.6,44.4,2.3,10954
Travis Wood,- - -,330,327,11,28,37,1,0.021,0.352,0.144,0.256,0.185,0.208,0.329,0.234,,41,0.1,-22.6,32.3,2.1,9884
Clayton Kershaw,LAD,354,808,1,44,37,1,0.041,0.248,0.024,0.225,0.159,0.203,0.183,0.178,,4,-0.2,-93.7,85.8,1.9,2036
Jake Arrieta,- - -,255,396,6,22,27,0,0.035,0.457,0.089,0.314,0.167,0.198,0.256,0.199,,17,-0.1,-40.4,43.9,1.7,4153
Max Scherzer,- - -,372,466,1,31,29,3,0.028,0.285,0.022,0.284,0.193,0.221,0.215,0.196,,11,0.4,-51.2,52.5,1.7,3137
Tim Hudson,- - -,272,610,4,31,35,0,0.034,0.254,0.054,0.225,0.165,0.199,0.218,0.189,,8,-0.3,-68,63.6,1.5,921
Noah Syndergaard,NYM,119,251,6,14,15,0,0.06,0.574,0.113,0.384,0.153,0.206,0.266,0.208,,29,-0.1,-22.4,28.7,1.5,11762
Hyun-Jin Ryu,LAD,128,258,1,19,12,0,0.047,0.364,0.061,0.314,0.178,0.226,0.239,0.209,,28,-0.1,-22.6,28.7,1.5,14444
Jon Niese,- - -,216,413,0,27,19,0,0.085,0.397,0.026,0.284,0.15,0.228,0.176,0.193,,16,-0.3,-40.6,41.9,1.5,4424
Tyson Ross,- - -,209,217,2,14,13,1,0.028,0.359,0.053,0.319,0.2,0.229,0.253,0.214,,36,0.1,-15.9,23,1.5,7872
Jake Peavy,- - -,287,364,3,30,25,0,0.03,0.269,0.072,0.241,0.176,0.202,0.248,0.199,,20,-0.6,-36.6,39.4,1.4,1051
Braden Looper,- - -,176,218,0,14,18,0,0.046,0.266,0.045,0.325,0.219,0.265,0.264,0.241,,40,-0.1,-16.5,23.4,1.4,526
Cole Hamels,- - -,429,778,2,40,34,1,0.024,0.368,0.038,0.283,0.169,0.195,0.206,0.181,,3,-1.3,-93.9,82.3,1.3,4972
Brandon Backe,HOU,53,84,3,13,4,0,0.071,0.333,0.167,0.39,0.264,0.329,0.431,0.335,,101,-0.1,0.1,9.1,1.2,1529
Stephen Strasburg,WSN,240,514,4,23,29,0,0.045,0.294,0.048,0.221,0.152,0.196,0.2,0.18,,2,-0.2,-61.1,56.4,1.2,10131
Carlos Martinez,STL,259,249,1,13,23,0,0.008,0.289,0.049,0.279,0.196,0.211,0.244,0.2,,20,-0.1,-24.5,27.8,1.1,11682
Jason Marquis,- - -,263,472,3,41,36,0,0.017,0.239,0.072,0.229,0.174,0.193,0.246,0.193,,8,-0.2,-53.9,50.3,1.1,105
Wade LeBlanc,- - -,235,142,0,6,3,0,0.028,0.218,0.008,0.337,0.25,0.28,0.258,0.245,,53,-0.1,-8.1,14.5,1.1,5221
Livan Hernandez,- - -,244,387,3,22,23,0,0.013,0.096,0.058,0.205,0.19,0.201,0.248,0.198,,11,-0.2,-43,41.1,1,1116
Jose Fernandez,MIA,77,159,2,11,14,0,0.006,0.27,0.088,0.293,0.213,0.217,0.301,0.224,,38,-0.1,-11.6,16.4,1,11530
Steven Matz,NYM,113,197,3,8,13,0,0.036,0.249,0.08,0.22,0.172,0.203,0.253,0.199,,22,-0.1,-19.4,23.1,1,13361
Steven Brault,PIT,100,93,1,11,4,0,0.022,0.14,0.072,0.304,0.265,0.282,0.337,0.267,,65,0,-4,11.2,1,15291
Ian Kennedy,- - -,357,399,1,21,18,0,0.083,0.386,0.05,0.244,0.131,0.213,0.181,0.188,,8,-0.2,-43,40.1,1,6986
Tyler Chatwood,- - -,208,241,0,17,17,0,0.033,0.212,0.034,0.275,0.206,0.236,0.24,0.213,,17,-0.1,-25,26.6,1,4338
Zach Duke,- - -,562,344,2,16,22,0,0.029,0.314,0.045,0.282,0.183,0.209,0.228,0.197,,11,-0.1,-38.6,37,0.9,3840
German Marquez,COL,97,184,1,14,21,0,0,0.25,0.069,0.321,0.233,0.233,0.302,0.228,,22,-0.1,-18.7,22.1,0.9,15038
Jhoulys Chacin,- - -,262,399,2,16,22,1,0.028,0.216,0.039,0.234,0.183,0.209,0.223,0.193,,4,0,-46.2,42.7,0.9,2608
Daniel Hudson,- - -,379,129,1,7,21,0,0.039,0.279,0.074,0.319,0.222,0.261,0.296,0.249,,49,-0.1,-8,12.4,0.9,7146
Tom Glavine,- - -,81,170,0,11,7,0,0.094,0.165,0.016,0.228,0.18,0.269,0.195,0.225,,29,-0.1,-15.7,19.1,0.9,90
Brad Penny,- - -,186,231,1,14,18,0,0.004,0.277,0.063,0.279,0.195,0.207,0.259,0.205,,19,-0.1,-24.3,25.4,0.9,535
Michael Lorenzen,CIN,302,145,7,17,24,5,0.048,0.317,0.197,0.304,0.235,0.279,0.432,0.303,,83,0.1,-3,6.4,0.8,14843
Derek Lowe,- - -,251,433,1,27,20,0,0.058,0.24,0.037,0.21,0.151,0.206,0.188,0.185,,5,-0.2,-51.8,45.9,0.8,199
Matt Morris,- - -,70,151,1,8,10,0,0.013,0.278,0.081,0.321,0.218,0.23,0.298,0.231,,31,-0.1,-13.7,17.1,0.8,1172
Mike Hampton,- - -,44,70,1,9,11,0,0.057,0.271,0.098,0.381,0.279,0.318,0.377,0.307,,83,0,-1.5,7.5,0.8,430
Craig Stammen,- - -,440,113,0,6,10,0,0.053,0.336,0.083,0.356,0.219,0.262,0.302,0.251,,47,-0.1,-7.3,11.8,0.8,7274
Manny Parra,- - -,322,163,0,10,13,0,0.037,0.356,0.09,0.31,0.188,0.229,0.278,0.226,,29,-0.1,-14.3,17.2,0.8,4279
Brandon Woodruff,MIL,54,71,1,5,5,0,0.042,0.324,0.111,0.385,0.254,0.288,0.365,0.281,,70,0,-2.9,8.7,0.8,16162
Patrick Corbin,- - -,210,407,0,29,23,0,0.044,0.356,0.042,0.259,0.154,0.197,0.196,0.178,,-1,-0.6,-51.1,45.7,0.8,9323
Henderson Alvarez,- - -,95,115,1,5,9,0,0.009,0.313,0.07,0.323,0.22,0.223,0.29,0.223,,39,-0.1,-8.3,11.8,0.8,5669
Cliff Lee,- - -,261,310,2,18,19,2,0.016,0.348,0.054,0.281,0.179,0.192,0.232,0.188,,10,-0.5,-33.9,31.3,0.7,1636
Randy Wolf,- - -,218,412,1,30,28,2,0.032,0.308,0.052,0.264,0.177,0.207,0.229,0.196,,12,-0.2,-44.4,38.7,0.7,976
Mark Mulder,STL,23,38,1,5,5,0,0.132,0.237,0.185,0.412,0.296,0.406,0.481,0.389,,136,0,1.8,4.5,0.7,932
Gerrit Cole,- - -,195,286,3,17,15,0,0.021,0.392,0.044,0.279,0.163,0.186,0.207,0.175,,5,-0.1,-33.1,30.9,0.7,13125
Edwin Jackson,- - -,407,310,2,24,11,1,0.039,0.397,0.036,0.288,0.166,0.2,0.202,0.183,,7,-0.4,-34.7,31.9,0.7,1841
Chris Narveson,- - -,118,141,0,6,13,0,0.035,0.34,0.025,0.352,0.21,0.248,0.235,0.222,,32,-0.1,-11.6,13.8,0.7,2141
Adam Eaton,- - -,82,108,1,6,7,0,0.083,0.259,0.067,0.279,0.2,0.273,0.267,0.249,,41,-0.1,-8.3,11.6,0.7,1029
